"CID","SITE","SEX","AGE","CHILDREN","FORMALED","MAT1","DG.DISTANT2","Y"
1011,"Cachoeira",1,25,2,9,1,0,0
1022,"Cachoeira",1,54,6,8,1,2,2
1027,"Cachoeira",0,46,3,8,1,3,3
1029,"Cachoeira",0,30,3,17,1,3,3
1030,"Cachoeira",1,48,4,8,1,5,5
1049,"Cachoeira",0,20,1,6,1,5,5
1065,"Cachoeira",1,38,1,11,1,6,6
1066,"Cachoeira",0,36,1,12,1,6,6
1088,"Cachoeira",0,45,2,1,1,4,4
1089,"Cachoeira",0,35,3,6,0,3,3
1090,"Cachoeira",0,30,2,8,1,3,3
1092,"Cachoeira",0,30,2,8,1,4,4
1093,"Cachoeira",0,41,2,12,1,3,3
1094,"Cachoeira",0,59,1,5,1,3,3
1095,"Cachoeira",0,60,4,6,1,5,5
1096,"Cachoeira",0,33,3,10,1,4,4
1097,"Cachoeira",0,40,3,12,1,3,3
1098,"Cachoeira",1,21,0,17,1,4,4
1099,"Cachoeira",1,33,0,2,1,3,3
1100,"Cachoeira",0,31,1,10,1,2,2
1101,"Cachoeira",1,46,0,3,1,0,0
1102,"Cachoeira",1,48,2,7,1,2,2
1103,"Cachoeira",0,39,8,5,1,6,6
1104,"Cachoeira",0,40,5,17,1,0,0
1105,"Cachoeira",0,30,1,7,1,5,5
1106,"Cachoeira",0,20,0,11,1,4,4
1107,"Cachoeira",0,46,0,5,1,5,5
1108,"Cachoeira",1,40,1,6,1,5,5
1109,"Cachoeira",1,35,0,17,0,5,5
1111,"Cachoeira",1,37,1,7,1,1,1
1112,"Cachoeira",1,38,0,5,1,7,7
1113,"Cachoeira",0,21,0,8,1,3,3
1114,"Cachoeira",1,28,0,3,1,5,5
1115,"Cachoeira",0,19,0,7,1,5,5
1116,"Cachoeira",0,28,0,9,1,3,3
1117,"Cachoeira",NA,22,0,17,1,0,0
1118,"Cachoeira",0,42,2,5,1,4,4
1119,"Cachoeira",0,42,3,5,1,4,4
1120,"Cachoeira",1,42,NA,17,0,0,0
1121,"Cachoeira",1,38,1,11,1,2,2
1122,"Cachoeira",1,32,1,17,0,0,0
1123,"Cachoeira",0,66,4,0,1,4,4
1124,"Cachoeira",0,40,3,5,1,5,5
1125,"Cachoeira",1,18,0,8,1,3,3
1126,"Cachoeira",0,58,0,2,1,5,5
1127,"Cachoeira",0,45,2,11,1,4,4
1129,"Cachoeira",0,18,0,11,1,4,4
1130,"Cachoeira",0,43,4,5,1,1,1
1131,"Cachoeira",0,35,2,17,1,3,3
1132,"Cachoeira",0,22,1,10,1,5,5
1133,"Cachoeira",0,67,4,3,1,4,4
1134,"Cachoeira",0,34,2,11,1,3,3
1135,"Cachoeira",0,30,2,9,1,5,5
1136,"Cachoeira",1,36,0,6,1,4,4
1137,"Cachoeira",0,18,1,8,1,5,5
1139,"Cachoeira",0,43,7,5,1,0,0
1140,"Cachoeira",0,44,1,5,1,2,2
1141,"Cachoeira",0,29,0,7,1,0,0
1142,"Cachoeira",0,39,1,11,1,2,2
1143,"Cachoeira",0,53,5,5,1,0,0
1144,"Cachoeira",0,25,1,8,1,0,0
1145,"Cachoeira",0,18,0,3,1,0,0
1146,"Cachoeira",0,38,4,17,1,2,2
1148,"Cachoeira",0,22,2,4,1,4,4
1149,"Cachoeira",0,38,1,11,1,5,5
