"hid","act","subsidy","age","literate","voucher","stratum"
"3",0,1,30,1,0,"7"
"9",NA,1,68,0,NA,"3"
"10",NA,0,26,1,NA,"7"
"17",0,0,27,0,0,"6"
"19",0,0,26,1,1,"6"
"22",0,1,27,1,0,"5"
"23",1,1,72,0,0,"1"
"28",NA,0,61,1,NA,"8"
"33",0,0,41,1,0,"8"
"37",0,0,22,1,1,"8"
"38",1,0,33,1,0,"8"
"40",0,1,41,1,1,"8"
"42",1,1,51,1,1,"8"
"43",1,1,44,1,1,"8"
"52",1,1,47,1,1,"6"
"57",1,1,28,0,1,"7"
"60",1,1,30,1,1,"7"
"70",NA,1,35,0,NA,"5"
"79",0,1,59,0,0,"8"
"80",1,1,25,1,1,"8"
"80",1,1,25,1,1,"8"
"83",1,1,17,1,0,"8"
"95",1,1,57,0,1,"8"
"97",1,1,29,1,1,"8"
"109",1,1,23,0,1,"7"
"114",NA,0,26,1,NA,"6"
"116",0,1,87,0,0,"7"
"124",0,1,63,0,0,"5"
"139",0,1,30,1,0,"6"
"147",0,0,78,0,0,"8"
"152",0,1,47,0,0,"8"
"153",0,0,50,1,0,"8"
"161",1,1,60,0,1,"8"
"161",1,1,60,0,1,"8"
"181",1,0,64,1,0,"7"
"194",1,1,55,0,1,"6"
"195",NA,1,57,0,NA,"6"
"201",0,1,43,1,0,"7"
"206",NA,1,36,0,NA,"7"
"210",1,1,28,1,1,"8"
"220",1,1,32,1,1,"8"
"221",0,0,55,1,0,"4"
"234",1,1,35,0,0,"6"
"239",1,1,34,0,1,"5"
"241",1,1,35,1,1,"8"
"245",NA,0,69,1,NA,"8"
"247",1,1,30,1,0,"8"
"248",1,1,26,1,1,"8"
"252",1,1,40,1,1,"8"
"255",0,0,25,1,0,"8"
"256",0,1,53,1,0,"8"
"281",0,1,39,1,0,"5"
"301",0,0,25,1,1,"8"
"305",1,0,38,1,0,"7"
"310",0,0,52,1,1,"7"
"324",0,1,42,1,0,"6"
"326",0,0,62,0,0,"6"
"327",0,1,37,1,0,"7"
"327",0,1,37,1,0,"7"
"330",1,1,24,1,1,"7"
"334",1,1,35,1,0,"7"
"339",0,1,70,1,0,"7"
"343",0,0,65,0,0,"7"
"344",1,1,75,1,1,"8"
"350",0,1,37,0,1,"8"
"354",0,1,53,0,0,"5"
"359",NA,1,57,1,NA,"2"
"363",1,1,26,1,1,"2"
"366",0,1,85,0,0,"2"
"367",1,1,38,0,1,"6"
"374",1,1,43,1,0,"5"
"375",0,1,27,0,0,"5"
"376",0,0,30,1,0,"5"
"379",0,0,65,0,1,"5"
"386",1,1,30,1,0,"5"
"392",0,0,59,1,0,"3"
"418",0,1,39,1,0,"5"
"418",0,1,39,1,0,"5"
"420",1,1,35,1,0,"5"
"425",1,0,37,0,0,"5"
"441",1,1,22,1,1,"7"
"446",1,1,60,0,1,"5"
"456",0,1,NA,0,0,"5"
"457",0,1,20,1,0,"5"
"467",0,1,32,1,0,"5"
"467",0,1,32,1,0,"5"
"468",0,0,53,0,0,"5"
"469",0,0,83,1,0,"5"
"471",1,0,23,1,0,"2"
"485",1,0,35,0,1,"6"
"488",1,1,48,1,1,"8"
"493",0,1,74,1,0,"7"
"497",0,1,45,1,0,"8"
"498",1,1,25,1,0,"6"
"501",0,0,45,1,0,"5"
"508",0,1,50,1,0,"2"
"514",1,0,18,1,0,"1"
"515",1,1,38,1,1,"5"
"519",1,1,42,1,0,"8"
"521",0,1,34,1,0,"5"
"522",0,1,49,1,1,"5"
"542",0,1,38,0,0,"6"
"544",1,1,25,1,1,"7"
"556",0,0,38,0,0,"2"
"559",0,1,27,1,0,"1"
"561",1,1,23,0,1,"5"
"562",1,1,63,0,1,"6"
"563",0,0,38,1,0,"5"
"571",1,1,56,1,1,"6"
"572",1,1,46,1,1,"6"
"573",0,1,51,1,0,"5"
"588",1,0,19,1,0,"7"
"589",0,1,30,0,0,"7"
"591",NA,0,55,0,NA,"7"
"598",0,0,84,0,0,"6"
"601",0,0,28,1,0,"6"
"606",0,1,37,1,0,"3"
"607",0,1,23,1,0,"7"
"610",1,1,22,1,1,"3"
"618",0,1,45,1,0,"5"
"622",0,1,21,1,0,"6"
"625",0,0,35,0,0,"7"
"634",1,0,41,1,1,"6"
"638",0,1,28,1,0,"8"
"649",NA,0,50,0,NA,"1"
"654",1,1,50,1,1,"6"
"654",1,1,50,1,1,"6"
"656",0,1,57,0,0,"5"
"659",0,1,19,0,0,"1"
"665",0,1,21,1,0,"5"
"671",0,1,35,1,0,"1"
"684",0,0,64,1,0,"6"
"687",1,1,41,1,1,"7"
"687",1,1,41,1,1,"7"
"690",1,1,41,1,1,"7"
"694",1,1,28,1,1,"4"
"706",0,1,46,1,0,"5"
"714",0,1,33,1,0,"8"
"716",0,1,53,1,0,"8"
"722",NA,1,74,0,NA,"3"
"740",0,1,NA,0,0,"5"
"749",0,1,36,1,0,"6"
"749",0,1,36,1,0,"6"
"750",0,1,37,1,0,"6"
"751",0,1,60,1,0,"2"
"751",0,1,60,1,0,"2"
"756",0,1,35,1,0,"6"
"757",0,0,29,1,0,"6"
"758",1,1,51,0,1,"6"
"775",0,1,58,0,0,"5"
"815",1,1,29,1,1,"6"
"820",NA,1,17,1,NA,"2"
"822",1,1,67,0,1,"7"
"1005",0,1,70,0,1,"20"
"1006",1,1,43,1,1,"23"
"1008",1,1,24,1,1,"22"
"1010",NA,1,59,0,NA,"23"
"1015",1,1,45,1,1,"21"
"1039",0,1,22,1,0,"24"
"1043",0,0,32,0,0,"21"
"1045",1,1,34,1,1,"21"
"1050",0,1,39,0,1,"21"
"1051",0,0,26,1,0,"23"
"1059",1,1,23,1,0,"21"
"1065",1,1,27,1,0,"21"
"1067",1,1,55,0,1,"23"
"1076",0,0,39,1,0,"22"
"1090",0,0,24,0,0,"22"
"1094",1,1,24,1,1,"21"
"1098",0,1,28,1,0,"24"
"1101",1,1,65,0,1,"24"
"1118",0,1,59,1,0,"21"
"1123",0,1,40,0,0,"23"
"1126",1,1,34,1,1,"24"
"1127",1,0,28,1,0,"23"
"1130",1,0,23,1,0,"23"
"1132",0,1,44,1,0,"23"
"1133",0,1,NA,0,0,"22"
"1137",0,1,24,1,0,"24"
"1142",1,1,24,1,1,"23"
"1149",0,0,59,1,0,"20"
"1154",1,1,40,1,1,"23"
"1158",1,1,18,1,1,"19"
"1160",0,0,85,0,0,"20"
